,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
113,35,2016,24,20.5,0,25,6,10,.600,0,1,.000,0,0,,3,2,5,3,1,1,3,2,12,10.1,+3
114,36,2016,24,53.97,0,29,7,11,.636,1,3,.333,0,2,.000,0,1,1,0,3,0,2,2,15,9.8,-6
115,37,2017,24,46.79,0,17,1,5,.200,0,2,.000,0,1,.000,0,1,1,1,0,0,1,0,2,-1.5,-12
116,38,2017,24,38.45,0,18,6,9,.667,3,6,.500,1,3,.333,3,4,7,3,0,0,1,3,16,14.5,+5
117,39,2017,24,76.15,0,31,8,14,.571,4,7,.571,1,2,.500,1,2,3,1,2,0,0,2,21,17.2,+5
118,40,2017,24,35.91,0,9,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,4,1.2,-7
119,41,2017,24,72.45,0,28,3,9,.333,1,5,.200,2,2,1.000,0,4,4,4,1,0,0,0,9,8.9,+12
120,42,2017,24,76.15,0,22,3,9,.333,2,5,.400,1,1,1.000,0,1,1,1,2,0,0,2,9,6.1,-12
121,43,2017,24,0.01,0,23,6,11,.545,0,2,.000,2,4,.500,0,1,1,3,0,0,0,3,14,9.1,-11
122,44,2017,24,48.9,0,28,8,14,.571,3,4,.750,2,2,1.000,1,3,4,3,0,0,2,3,21,14.9,-11
123,45,2017,24,38.55,0,23,7,12,.583,0,2,.000,2,2,1.000,0,2,2,2,0,0,2,3,16,9.2,-7
124,46,2017,24,96.95,0,35,7,16,.438,2,5,.400,3,3,1.000,0,0,0,3,2,0,1,5,19,11.7,+9
125,47,2017,24,55.34,0,33,5,12,.417,1,4,.250,1,1,1.000,1,4,5,3,5,0,7,0,12,7.6,+5
126,48,2017,24,53.97,0,25,5,13,.385,0,2,.000,0,0,,0,3,3,0,0,0,2,0,10,1.8,-36
127,49,2017,24,76.15,0,34,8,15,.533,2,4,.500,4,4,1.000,1,2,3,2,1,0,1,0,22,17.4,-1
128,50,2017,24,20.5,0,35,8,18,.444,0,2,.000,0,0,,0,5,5,4,1,0,3,3,16,7.7,-2
129,51,2017,24,96.95,0,21,3,7,.429,0,1,.000,0,0,,0,3,3,2,1,0,3,1,6,2.2,-15
130,52,2017,24,61.36,0,28,9,13,.692,2,6,.333,0,0,,0,2,2,1,0,0,0,1,20,15.4,-4
131,53,2017,24,51.86,0,21,1,7,.143,0,3,.000,0,0,,1,0,1,1,3,1,1,1,2,1.2,-4
132,54,2017,24,85.54,0,29,5,13,.385,0,2,.000,2,2,1.000,1,6,7,2,0,0,1,4,12,6.2,+6
133,55,2017,24,38.55,0,22,3,10,.300,0,3,.000,6,7,.857,0,1,1,0,2,0,3,3,12,3.9,-22
134,56,2017,24,62.42,0,21,4,9,.444,3,6,.500,0,0,,0,0,0,4,1,0,1,4,11,7.5,-2
135,57,2017,24,83.75,0,28,4,8,.500,0,1,.000,1,2,.500,1,6,7,2,1,1,3,3,9,6.0,+5
136,58,2017,24,90.19,0,29,6,12,.500,2,5,.400,1,3,.333,0,3,3,0,1,0,3,3,15,5.9,-9
137,59,2017,24,41.4,0,29,6,17,.353,2,8,.250,0,2,.000,0,5,5,5,4,0,3,1,14,9.3,0
138,60,2017,24,0.01,0,27,8,16,.500,1,3,.333,2,2,1.000,0,2,2,2,0,0,2,0,19,11.0,-19
139,61,2017,24,53.44,0,33,7,14,.500,1,4,.250,1,1,1.000,0,3,3,3,1,0,3,5,16,8.0,-7
140,62,2017,24,51.86,0,29,7,19,.368,1,8,.125,5,5,1.000,0,4,4,3,3,0,3,2,20,12.0,-3
141,63,2017,24,39.71,0,23,4,9,.444,0,2,.000,6,6,1.000,0,2,2,3,1,0,3,0,14,10.0,-17
142,64,2017,24,53.97,0,34,9,17,.529,4,8,.500,0,0,,1,0,1,2,0,0,2,2,22,13.0,-6
143,65,2017,24,90.19,0,35,7,18,.389,1,6,.167,4,5,.800,0,2,2,3,2,0,1,2,19,11.7,+9
144,66,2017,24,58.72,0,33,10,16,.625,0,2,.000,10,11,.909,2,4,6,8,1,1,2,0,30,30.3,+6
145,67,2017,24,96.95,1,33,7,18,.389,3,7,.429,2,3,.667,0,2,2,3,0,0,3,1,19,8.1,-21
146,68,2017,24,60.31,1,39,7,19,.368,1,6,.167,3,4,.750,0,2,2,3,2,0,3,1,18,8.4,-23
147,69,2017,24,62.42,1,37,8,20,.400,4,11,.364,1,1,1.000,1,4,5,2,1,1,3,2,21,11.4,-8
148,70,2017,24,71.18,1,41,8,18,.444,2,7,.286,1,1,1.000,2,1,3,6,0,0,2,3,19,12.3,-8
149,71,2017,24,48.9,1,36,1,9,.111,0,4,.000,3,3,1.000,0,3,3,5,0,0,2,4,5,-0.1,-27
